Supp,55625
Elite,58800
Elite,50943
Supp,54337
Credit,51434
Elite,52368
Supp,50682
Elite,50423
Supp,57462
Supp,55797
Supp,57739
Credit,56595
Elite,59116
Supp,50823
Elite,51340
Supp,55803
Credit,50932
Supp,53702
Elite,52641
Elite,52355
Supp,59308
Supp,57754
Credit,53918
Elite,52963
Elite,52962
Supp,52961
Supp,56191
Supp,52958
Supp,51624
Supp,58810
Supp,53495
Elite,51253
Supp,51620
Elite,53492
Credit,57455
Supp,53924
Supp,57743
Supp,55764
Supp,55812
Supp,59577
Supp,52388
Elite,53538
Supp,55844
Supp,58786
Credit,54272
Supp,59126
Credit,53532
Elite,51576
Supp,58517
Elite,52921
Supp,53697
Elite,51572
Credit,55859
Credit,55860
Elite,52919
Supp,55861
Supp,51336
Supp,52419
Elite,51580
Credit,53949
Elite,57473
Elite,50923
Supp,55818
Supp,52390
Elite,51268
Elite,55825
Credit,52934
Credit,54296
Elite,52393
Supp,54293
Supp,58497
Supp,52394
Supp,55832
Supp,57710
Elite,55836
Elite,50926
Supp,53944
Elite,50395
Elite,59612
Credit,59616
Elite,50343
Supp,52991
Credit,51664
Elite,54485
Elite,57825
Supp,58440
Supp,59080
Supp,50978
Supp,52275
Credit,59648
Supp,51658
Supp,52984
Elite,59653
Credit,58650
Elite,55657
Supp,52280
Supp,54463
Supp,53434
Supp,54496
Credit,55639
Elite,58435
Credit,50315
Supp,57848
Supp,58656
Supp,58654
Credit,53661
Supp,54513
Elite,56673
Supp,52995
Elite,55631
Elite,59674
Supp,57836
Supp,52260
Supp,57432
Elite,56668
Credit,57831
Elite,51653
Credit,50700
Supp,59617
Elite,51635
Supp,54414
Elite,52307
Elite,55710
Elite,52308
Supp,56628
Credit,54402
Supp,57450
Supp,56625
Elite,50356
Supp,54396
Elite,50386
Supp,54395
Supp,56199
Elite,57780
Elite,50390
Elite,53477
Supp,50375
Credit,51243
Elite,55702
Supp,55700
Supp,59085
Supp,51424
Supp,59642
Credit,50698
Elite,57442
Supp,56397
Supp,54444
Elite,53460
Credit,54438
Supp,53707
Supp,55695
Supp,52649
Supp,57121
Supp,57449
Elite,53469
Elite,57686
Supp,50831
Elite,57681
Supp,58744
Elite,56139
Elite,51312
Supp,56039
Supp,58591
Supp,52841
Supp,50867
Credit,54083
Credit,56047
Elite,58601
Supp,59169
Supp,57247
Credit,52549
Credit,59417
Supp,54074
Supp,57555
Supp,57551
Supp,50580
Supp,52533
Elite,51501
Supp,53617
Credit,50652
Supp,58576
Elite,57227
Supp,59366
